keyword,us_volume,in_volume,combined,cpc_usd,competition
world cup 2026 schedule,60500,27100,87600,1.12,LOW
fifa rankings,40500,18100,58600,8.32,LOW
world cup 2026 groups,40500,9900,50400,5.76,LOW
fifa world ranking,14800,2400,17200,0,LOW
world cup squad 2026,70,6600,6670,0,LOW
brazil world cup squad,2900,2900,5800,5.22,LOW
fifa 2026 groups,2900,2400,5300,6.72,LOW
world cup 2026 teams,3600,1000,4600,1.17,LOW
england world cup squad,2900,1300,4200,2.06,LOW
world cup 2026 fixtures,590,2900,3490,4.66,LOW
france world cup squad,2400,880,3280,7.06,LOW
world cup squads,260,2900,3160,0,LOW
world cup 2026 venues,2400,720,3120,0.54,LOW
portugal world cup squad,1600,880,2480,2.77,LOW
spain world cup squad,1900,480,2380,0,LOW
fifa team rankings,1000,1300,2300,0,LOW
messi world cup 2026,1600,320,1920,1.7,LOW
germany world cup squad,1300,320,1620,4.01,LOW
argentina world cup squad,880,590,1470,0.54,LOW
australia world cup squad,90,1000,1090,0,LOW
netherlands world cup squad,880,110,990,4.83,LOW
world cup 2026 team list,390,590,980,2.74,LOW
world cup 2026 news,720,110,830,0,LOW
2026 world cup squad,20,720,740,0,LOW
fifa world cup 2026 news,590,110,700,0.86,LOW
brazil world cup 2026 squad,170,480,650,0,LOW
mexico world cup squad,590,30,620,2.59,LOW
world cup 2026 squad,10,590,600,0,LOW
fifa 2026 teams,320,260,580,10.56,LOW
brazil squad 2026,210,320,530,0,LOW
belgium world cup squad,480,50,530,6.83,LOW
fifa 2026 fixtures,110,390,500,3.76,LOW
cristiano ronaldo world cup 2026,390,70,460,5.08,LOW
sports data api,390,50,440,7.38,LOW
football api,260,170,430,6.56,LOW
fifa 2026 stadiums,320,70,390,0.92,LOW
portugal squad 2026,110,260,370,0,LOW
croatia world cup squad,320,30,350,10.26,LOW
usa world cup squad,210,140,350,0,LOW
japan world cup squad,260,30,290,2.17,LOW
fifa world ranking 2026,70,210,280,0,LOW
fifa 2026 host cities,260,20,280,3.44,LOW
argentina world cup 2026 squad,70,210,280,0,LOW
portugal world cup 2026 squad,50,210,260,0,LOW
france world cup 2026 squad,90,140,230,0,LOW
colombia world cup squad,210,20,230,1.3,LOW
world cup 2026 squads,50,170,220,0,LOW
brazil 2026 squad,70,140,210,0,LOW
spain world cup 2026 squad,90,110,200,0,LOW
uruguay world cup squad,170,20,190,0,LOW
lamine yamal world cup 2026,140,30,170,1.19,LOW
fifa world cup 2026 squad,10,140,150,0,LOW
fifa world cup 2026 squads,10,140,150,0,LOW
world cup 2026 lineup,140,10,150,0.02,LOW
argentina squad 2026,40,110,150,0,LOW
portugal 2026 squad,40,110,150,0,LOW
france squad 2026,70,70,140,0,LOW
england world cup 2026 squad,50,90,140,0,LOW
france 2026 squad,70,50,120,0,LOW
england squad 2026,50,70,120,0,LOW
argentina 2026 squad,40,70,110,0,LOW
spain squad 2026,40,70,110,0,LOW
switzerland world cup squad,90,10,100,0,LOW
mbappe world cup 2026,90,10,100,2.27,LOW
germany world cup 2026 squad,40,50,90,0,LOW
fifa 2026 team list,10,70,80,0,LOW
world cup 2026 roster,70,10,80,0,LOW
south korea world cup squad,70,10,80,0,LOW
australia world cup 2026 squad,10,70,80,0,
england 2026 squad,40,30,70,0,LOW
spain 2026 squad,40,30,70,0,LOW
germany squad 2026,30,40,70,0,LOW
world cup 2026 squad announcement,10,40,50,0,LOW
usa world cup 2026 squad,10,40,50,0,LOW
morocco world cup squad,40,10,50,0,LOW
poland world cup squad,40,10,50,0,LOW
world cup 2026 player list,10,30,40,0,LOW
fifa 2026 lineup,30,10,40,0,LOW
fifa 2026 ranking,20,20,40,0,LOW
world cup yellow card rules,30,10,40,0,LOW
germany 2026 squad,20,20,40,0,LOW
senegal world cup squad,30,10,40,0,LOW
australia squad 2026,10,30,40,0,
fifa 2026 squad,10,20,30,0,
world cup final squad,10,20,30,0,LOW
world cup api,20,10,30,5.72,LOW
belgium world cup 2026 squad,20,10,30,0,LOW
mexico 2026 squad,20,10,30,0,LOW
denmark world cup squad,20,10,30,0,LOW
serbia world cup squad,20,10,30,0,LOW
haaland world cup 2026,20,10,30,0.67,LOW
harry kane world cup 2026,20,10,30,0,LOW
fifa 2026 squads,10,10,20,0,LOW
2026 fifa world cup squads,10,10,20,0,LOW
fifa 2026 roster,10,10,20,0,LOW
world cup 2026 injuries,10,10,20,0,LOW
world cup injury list,10,10,20,0,LOW
world cup squad deadline 2026,10,10,20,0,LOW
world cup 23 man squad,10,10,20,0,LOW
world cup 26 man squad,10,10,20,0,LOW
world cup squad list 2026,10,10,20,0,LOW
world cup 2026 squad numbers,10,10,20,0,
world cup 2026 captains,10,10,20,0,LOW
netherlands world cup 2026 squad,10,10,20,0,LOW
netherlands squad 2026,10,10,20,0,LOW
netherlands 2026 squad,10,10,20,0,LOW
belgium squad 2026,10,10,20,0,LOW
belgium 2026 squad,10,10,20,0,LOW
croatia world cup 2026 squad,10,10,20,0,LOW
croatia squad 2026,10,10,20,0,LOW
croatia 2026 squad,10,10,20,0,LOW
uruguay world cup 2026 squad,10,10,20,0,LOW
uruguay squad 2026,10,10,20,0,LOW
uruguay 2026 squad,10,10,20,0,LOW
usa squad 2026,10,10,20,0,LOW
usa 2026 squad,10,10,20,0,LOW
mexico world cup 2026 squad,10,10,20,0,LOW
mexico squad 2026,10,10,20,0,LOW
canada world cup 2026 squad,10,10,20,0,LOW
canada squad 2026,10,10,20,0,LOW
canada world cup squad,10,10,20,0,LOW
canada 2026 squad,10,10,20,0,LOW
japan world cup 2026 squad,10,10,20,0,LOW
japan squad 2026,10,10,20,0,LOW
japan 2026 squad,10,10,20,0,LOW
south korea world cup 2026 squad,10,10,20,0,LOW
south korea squad 2026,10,10,20,0,LOW
morocco world cup 2026 squad,10,10,20,0,LOW
morocco squad 2026,10,10,20,0,LOW
morocco 2026 squad,10,10,20,0,LOW
senegal world cup 2026 squad,10,10,20,0,LOW
senegal squad 2026,10,10,20,0,LOW
senegal 2026 squad,10,10,20,0,LOW
switzerland world cup 2026 squad,10,10,20,0,LOW
switzerland squad 2026,10,10,20,0,LOW
switzerland 2026 squad,10,10,20,0,LOW
denmark squad 2026,10,10,20,0,LOW
poland world cup 2026 squad,10,10,20,0,LOW
poland squad 2026,10,10,20,0,
poland 2026 squad,10,10,20,0,
colombia world cup 2026 squad,10,10,20,0,LOW
colombia squad 2026,10,10,20,0,LOW
colombia 2026 squad,10,10,20,0,LOW
australia 2026 squad,10,10,20,0,LOW
argentina world cup injury,10,10,20,0,LOW
brazil world cup injury,10,10,20,0,LOW
brazil injury news,10,10,20,0,
england world cup injury,10,10,20,0,LOW
england injury news,10,10,20,0,
spain injury news,10,10,20,0,
germany injury news,10,10,20,0,LOW
portugal world cup injury,10,10,20,0,LOW
belgium injury news,10,10,20,0,
usa world cup injury,10,10,20,0,LOW
bellingham world cup 2026,10,10,20,0,LOW
musiala world cup 2026,10,10,20,0,LOW
world cup yellow card suspension,10,0,10,0,LOW
world cup suspension rules,10,0,10,0,
serbia squad 2026,10,0,10,0,LOW
argentina injury news,0,10,10,0,
france world cup injury,10,0,10,0,LOW
france injury news,10,0,10,0,
spain world cup injury,10,0,10,0,LOW
germany world cup injury,10,0,10,0,LOW
portugal injury news,0,10,10,0,
netherlands injury news,10,0,10,0,LOW
croatia injury news,10,0,10,0,
uruguay world cup injury,10,0,10,0,
uruguay injury news,10,0,10,0,
bukayo saka world cup 2026,10,0,10,0,LOW
fifa 2026 player list,0,0,0,0,
fifa 2026 injury news,0,0,0,0,
world cup booking rules,0,0,0,0,
fifa squad submission deadline,0,0,0,0,
world cup provisional squad 2026,0,0,0,0,
world cup preliminary squad 2026,0,0,0,0,
fifa 2026 captain,0,0,0,0,
fifa 2026 squad pdf,0,0,0,0,
fifa 2026 jersey numbers,0,0,0,0,
south korea 2026 squad,0,0,0,0,
denmark world cup 2026 squad,0,0,0,0,
denmark 2026 squad,0,0,0,0,
serbia world cup 2026 squad,0,0,0,0,
serbia 2026 squad,0,0,0,0,
netherlands world cup injury,0,0,0,0,
belgium world cup injury,0,0,0,0,
croatia world cup injury,0,0,0,0,
usa injury news,0,0,0,0,
vinicius jr world cup 2026,0,0,0,0,
